Experiment,Split,insect_0,insect_1,all_ap_0,all_ap_1
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,OI,"[0.9456112874642681, 0.9372909034592687, 0.9265306067601012, 0.9265306067601012, 0.9116755201590983, 0.8492438792433458, 0.6919081694664005, 0.4173549459002912, 0.1344595713820638, 0.02767171717171717]","[0.9696807966133821, 0.9677497814378401, 0.9483601683843519, 0.9483601683843519, 0.9182913760944917, 0.8277715942940471, 0.7006057753184445, 0.4774949655665966, 0.1746221338333891, 0.009231947895100068]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,OI,"[0.9213427718976428, 0.9213427718976428, 0.8993810411396714, 0.8911864873752574, 0.8583799492317896, 0.8100594328494485, 0.6323791071745059, 0.40297374897221305, 0.1349227198493854, 0.015924320045553955]","[0.8598532252440908, 0.8292250362521649, 0.8118980093336869, 0.784541693623368, 0.7487504853930441, 0.6959172957915611, 0.6013557333464088, 0.34083140220304214, 0.11586470589108905, 0.00911669408222216]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,9,ST,OI,"[0.9640393651673334, 0.9640393651673334, 0.9640393651673334, 0.9424682954465531, 0.9283964729483345, 0.8936676267631558, 0.7641064525127558, 0.4805538289633217, 0.12845790625303902, 0.0044849302813904585]","[0.9392514270842984, 0.9252777010786798, 0.8983983288569012, 0.8693571233153856, 0.8473200311255447, 0.7874126548080426, 0.6856510238991145, 0.48782626690130293, 0.16389108271352115, 0.01706829484356181]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,10,ST,OI,"[0.9349816097619561, 0.9349816097619561, 0.9159621908219994, 0.9159621908219994, 0.8983665256304377, 0.7968710681961303, 0.6548240214448531, 0.47487828511203045, 0.16184089493860093, 0.013643653870661005]","[0.9290297969755221, 0.9290297969755221, 0.9090458160943433, 0.8940245438203466, 0.8344301319818942, 0.7498496126585275, 0.6369744616644571, 0.49441153034750185, 0.16350101516029608, 0.010915607330467342]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,OI,"[0.9247655606437789, 0.9247655606437789, 0.9181429303252577, 0.8924729453977227, 0.8746576578833372, 0.8453674495323037, 0.7451316173188276, 0.4874896455476721, 0.17576289170978, 0.024492113054344594]","[0.8184995749794081, 0.8150014974479308, 0.7965412907124289, 0.7616300446986499, 0.7280172810392802, 0.6767406388382283, 0.5725035621358983, 0.39323217955646184, 0.17042317072404795, 0.008271657083886188]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,OI,"[0.8552278907556741, 0.8325912282161293, 0.8325912282161293, 0.8063591189673527, 0.7837972307479507, 0.7532560223672188, 0.5823748491173277, 0.4240551013062021, 0.1265101789331485, 0.010518022127329192]","[0.7832239545441846, 0.7832239545441846, 0.7738546512554697, 0.7637044350355868, 0.7416055345240671, 0.6850541884509114, 0.44755409800652884, 0.18646644951349808, 0.04313515450450217, 0.0]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,OI,"[0.9123170852564187, 0.9123170852564187, 0.9123170852564187, 0.8851850596063324, 0.8652507370949389, 0.7823065684342033, 0.6792469574475227, 0.48876248816623197, 0.17627492276196638, 0.018992968191663642]","[0.9007824093459693, 0.8886031731274422, 0.8715351959015198, 0.8551594887945742, 0.8501655606284741, 0.7900135699534265, 0.6764506946133465, 0.48407290020140253, 0.17413366290535734, 0.015217104845295643]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,OI,"[0.9000650063751358, 0.8794559259563508, 0.8549696422353039, 0.8414237943972439, 0.8113816624013429, 0.7309954318095387, 0.5982767332655323, 0.3491214951328076, 0.14255510433495475, 0.02221161308203991]","[0.8919900971866693, 0.8782496488192301, 0.877458739728321, 0.8574139507437175, 0.8377517516114609, 0.7805825383227422, 0.7113957454228574, 0.4670959674642938, 0.10725720436315697, 0.009297058823529412]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,OI,"[0.9225995039954699, 0.9225995039954699, 0.9225995039954699, 0.8878538176571832, 0.8472783815980737, 0.8130860357973024, 0.6675564850976085, 0.38696846655675793, 0.11021842737880329, 0.0]","[0.9410243767887229, 0.9374572686758524, 0.9233108925702889, 0.9192327103831839, 0.8995993186512049, 0.8586692711258423, 0.6892853994652357, 0.4191789025280462, 0.1301333686789175, 0.003024565262937356]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,OI,"[0.8529542567962621, 0.8529542567962621, 0.8487207798648835, 0.8251177258979695, 0.8025431094095968, 0.7497628708187727, 0.6141697843461821, 0.3795847892934078, 0.13251305008173903, 0.0038203347578347584]","[0.9233382664334918, 0.9233382664334918, 0.9159269506111103, 0.8990974362552533, 0.8632597391904887, 0.8077024827628694, 0.7158722485417314, 0.5077817601505576, 0.21606876310695838, 0.012382213955479355]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,OI,"[0.9074309510419909, 0.9074309510419909, 0.9074309510419909, 0.9074309510419909, 0.9074309510419909, 0.874406710558341, 0.7151776750888689, 0.4753144799766706, 0.09457578933994029, 0.01981919006919007]","[0.9636387875954243, 0.951070887021107, 0.951070887021107, 0.9153953859332885, 0.8774362083759581, 0.8089185203617019, 0.6995987469749295, 0.41285278692893623, 0.1392582652703096, 0.022049093562526687]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,OI,"[0.9160566505294844, 0.9160566505294844, 0.9062935550046283, 0.8703678718515794, 0.841925206078977, 0.7688214423642435, 0.6221937152858634, 0.40300976049549253, 0.1825900187737791, 0.01580813439434129]","[0.8285320161303715, 0.8213749550257005, 0.798098265543949, 0.7707171789239874, 0.7465144768239416, 0.6826857326234171, 0.6274607674801049, 0.3804196048530311, 0.1346333911872054, 0.013135672517876631]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,9,ST,OI,"[0.9331312930242426, 0.9331312930242426, 0.9331312930242426, 0.9331312930242426, 0.911403759560807, 0.8353694960016991, 0.6199514792443411, 0.39799601008424434, 0.16445757227334984, 0.014997272910575664]","[0.9192598631010919, 0.910516758895206, 0.8930426850956366, 0.8692086161633066, 0.8322783429416998, 0.7648981609590768, 0.6789096643479331, 0.4384542784304198, 0.15814632272399506, 0.01796939151244236]"
03_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,10,ST,OI,"[0.9163665631376539, 0.9163665631376539, 0.9056507894151727, 0.89553915729024, 0.8659670864116317, 0.8391590411190157, 0.6948118908410569, 0.4331586899690799, 0.1766594281644117, 0.008909250374812591]","[0.9395667649401319, 0.9378585647431082, 0.9290649807048612, 0.9195746700330325, 0.8285128699727218, 0.800605812164661, 0.6107369013410086, 0.4038634696195231, 0.13920577361761066, 0.005742761904761905]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,OI,"[0.9196420206985381, 0.9194561635787187, 0.9047942763241801, 0.8882707185445704, 0.8576120030287778, 0.7789815357138866, 0.6803077551291714, 0.4700402680262205, 0.1575972873312977, 0.009326093684574632]","[0.8058823650517835, 0.7986351564796588, 0.7828579712239281, 0.778258095278469, 0.7367830968144171, 0.683108666377652, 0.5937792187747929, 0.39834142397652883, 0.1383278533700074, 0.01657874604908601]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,OI,"[0.9001704115757097, 0.8908972827856988, 0.8713754652265499, 0.8527429457838391, 0.8234838122118652, 0.7842624585413464, 0.6724766797791524, 0.4886890701534962, 0.14272721779348382, 0.020115620282102013]","[0.6809370349457307, 0.6600449790484114, 0.6600449790484114, 0.6347251377785701, 0.5609118133979547, 0.5609118133979547, 0.5077315264855758, 0.30075342294014895, 0.08240429808286953, 0.011984722222222221]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,OI,"[0.9237635299480046, 0.9222926260017814, 0.9222926260017814, 0.9145541428330302, 0.8718909021076829, 0.772134490073396, 0.6761873681639508, 0.4476023201309073, 0.1893262583599844, 0.002941235783583446]","[0.9028073430226943, 0.8890149001482381, 0.8704482920267408, 0.8558493036143322, 0.7951550835974852, 0.701719463774051, 0.617244110893943, 0.43644431576538245, 0.1292233458927939, 0.0124273840445269]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,OI,"[0.9144300023807636, 0.8947017593575977, 0.8796243597047666, 0.8719699797819191, 0.8635468866054571, 0.7904665814037521, 0.5870154495804972, 0.3927593669566686, 0.13945694155849986, 0.026245365361919744]","[0.9131755974005451, 0.8827729243875038, 0.8733296940518919, 0.8672022350457869, 0.8460610254077154, 0.8134920261143238, 0.7174725862031069, 0.4362807597356033, 0.14325984313725493, 0.024773073873873876]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,OI,"[0.8886412850339249, 0.8886412850339249, 0.8886412850339249, 0.858254301260635, 0.8029642902042609, 0.7980078375898817, 0.6737301392940583, 0.3583778277891408, 0.16231807063280218, 0.012799001782531195]","[0.9514691103870536, 0.947705440005314, 0.9349744707899423, 0.9145923628460066, 0.8907768493959942, 0.839942319513711, 0.655437224280292, 0.4430095666152819, 0.10538797186742346, 0.013144261733965828]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,OI,"[0.8545929495468322, 0.8545929495468322, 0.8410046855032046, 0.8124849054318269, 0.78934976488632, 0.7452295147731984, 0.6617046050162099, 0.4069782390126749, 0.12193848822154811, 0.017308683129552967]","[0.9044725232876991, 0.900807785487728, 0.884990518879016, 0.8778130406177285, 0.8335016625924143, 0.797620958205725, 0.698170369827342, 0.5041318620361004, 0.18202866712563426, 0.023013575594662376]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,OI,"[0.9029822524257989, 0.9029822524257989, 0.9029822524257989, 0.9029822524257989, 0.8830554096870068, 0.8311440656696981, 0.721881082033548, 0.5061523226549841, 0.10422256424708455, 0.005214460784313726]","[0.9509362000996026, 0.938353343277444, 0.926355857299275, 0.9136981593671984, 0.9065257598218649, 0.8198526106938964, 0.6937239737386875, 0.47411186361361546, 0.13832011367280628, 0.0354643716135853]"
